,QR-DQN,PPO,A2C,DQN,Buy & Hold,MA Crossover,RSI,Bollinger Bands,MACD,VWMA,Mean Reversion
Total Return (%),24.863220601695858,-14.630630329462512,-1.5934541863427354,-2.971506265002488,-30.63093143777056,-42.01212343086452,-1.0906939603684829,-42.01212343086452,-42.01212343086452,-42.01212343086452,-42.01212343086452
Annualized Return (%),44.93359381679541,-21.86038754763804,2.4541461129221465,-0.22942937808527697,-59.20251619881402,-98.58820143884891,-0.8883951155880134,-98.58820143884891,-98.58820143884891,-98.58820143884891,-98.58820143884891
Volatility (%),30.407594431918263,36.989111771460486,32.98849621594078,32.46095778945505,37.51383108911253,1.5844112125097412,15.009781979060005,1.5844112125097412,1.5844112125097412,1.5844112125097412,1.5844112125097412
Sharpe Ratio,1.4777095872348747,-0.5909952010392625,0.07439399773961955,-0.0070678560864832875,-1.5781516971215475,-62.223872603554156,-0.0591877428218081,-62.223872603554156,-62.223872603554156,-62.223872603554156,-62.223872603554156
Sortino Ratio,1.9960605079747085,-1.0483989046770854,0.14374726089287804,-0.011605536155098985,-2.7924836936737276,-62.223872603554156,-0.1406279972421765,-62.223872603554156,-62.223872603554156,-62.223872603554156,-62.223872603554156
Calmar Ratio,2.757814449961928,-2.428978964348936,-0.364969077431505,-0.4951762640643182,-4.877572796601605,-85.9143628443046,-0.2858441558011943,-85.9143628443046,-85.9143628443046,-85.9143628443046,-85.9143628443046
Maximum Drawdown (%),-9.01555237047913,-6.023366420295084,-4.365997792352106,-6.000906102834769,-6.279953721882392,-0.488999999999995,-3.8156944552928507,-0.488999999999995,-0.488999999999995,-0.488999999999995,-0.488999999999995
Number of Trades,138,138,138,138,138,138,138,138,138,138,138
Win Rate (%),45.32374100719424,46.043165467625904,43.16546762589928,43.884892086330936,46.76258992805755,0.0,10.79136690647482,0.0,0.0,0.0,0.0
Profit Factor,1.329288817102732,0.9087714506393937,1.013175585676027,0.9987866125523145,0.7772984860112807,0.0,0.981315399736327,0.0,0.0,0.0,0.0
